01880001228                                                                                                                                                                                 
10201509031101021220     MXN  03MEXSALINT 2BRE831013QC1                0000000000000000.000000000000000000.000000000000000000.000000000000000000.000000000000263080.24201601111538MLOPEZ    
10201509031101021380     MXN  03MEXSALINT 2BRE831013QC1                0000000000000000.000000000000000000.000000000000057000.000000000000078577.000000000000039884.04201601111538MLOPEZ    
10201509031101021381     MXN  03MEXSALINT 2BRE831013QC1                0000000000001386.040000000000001386.040000000000116772.080000000000116772.08-000000000001386.04201601111538MLOPEZ    
10201509031101021382     MXN  03MEXSALINT 2BRE831013QC1                0000000000000000.000000000000000000.000000000017060687.080000000017060687.080000000000000000.00201601111538MLOPEZ    
10201509031101021830     MXN  03MEXSALINT 2BRE831013QC1                0000000071858322.990000000071784431.030000000731542830.830000000731475564.590000000000263239.36201601111538MLOPEZ    
10201509031101021831     MXN  03MEXSALINT 2BRE831013QC1                0000000129904486.720000000129904486.720000000965850308.880000000965850308.880000000000000000.00201601111538MLOPEZ    
10201509031101021832     MXN  03MEXSALINT 2BRE831013QC1                0000000129756782.430000000129756782.430000001243265758.850000001243265758.850000000000000000.00201601111538MLOPEZ    
10201509031101021833     MXN  03MEXSALINT 2BRE831013QC1                0000000000000000.000000000000000000.000000000000000058.000000000000000058.000000000000000000.00201601111538MLOPEZ    
10201509031101022030     MXN  03MEXSALINT 2BRE831013QC1                0000000001685524.620000000001685524.620000000007932168.790000000007932168.800000000000000120.75201601111538MLOPEZ    
10201509031101022230     MXN  03MEXSALINT 2BRE831013QC1                0000000005512586.880000000005512270.620000000027212369.400000000027183626.980000000000045838.30201601111538MLOPEZ    
10201509031101022231     MXN  03MEXSALINT 2BRE831013QC1                0000000000003020.900000000000003020.900000000002719904.160000000002691474.650000000000028429.51201601111538MLOPEZ    
10201509031101022232     MXN  03MEXSALINT 2BRE831013QC1                0000000000000000.000000000000000000.000000000003192220.410000000003192220.410000000000000000.00201601111538MLOPEZ    
10201509031101022233     MXN  03MEXSALINT 2BRE831013QC1                0000000000000000.000000000000000000.000000000000002778.230000000000002778.230000000000000000.00201601111538MLOPEZ    
10201509031104011001     MXN  03MEXSALINT 2BRE831013QC1                0000000000000000.000000000000000000.000000000000000000.000000000000000000.000000000000006850.37201601111538MLOPEZ    
10201509031104011003     MXN  03MEXSALINT 2BRE831013QC1                0000000000000000.000000000000000000.000000000000000000.000000000000000000.000000000000000000.00201601111538MLOPEZ    
10201509031104031007     MXN  03MEXSALINT 2BRE831013QC1                0000000000000000.000000000000000000.000000000000001106.250000000000000000.000000000000000000.00201601111538MLOPEZ    
10201509031104099998     MXN  03MEXSALINT 2BRE831013QC1                0000000000018485.280000000000018485.160000000000102092.710000000000102090.650000000000000632.39201601111538MLOPEZ    
10201509031106011001     MXN  03MEXSALINT 2BRE831013QC1                0000000000000000.000000000000000000.000000000000061508.720000000000025941.220000000000035567.50201601111538MLOPEZ    
